id,wallet,username,honest_thoughts,sad_if_gone,improvements,real_money,extra,submitted_at
1,2kRJr1m4TVN7rNSFQZLQr81orBSf4EChfzgZi5U2hexM,taylor,test tes test tetsts ts s,Somewhat disappointed,nothing it is perfect,Definitely,no,2026-05-06T20:20:43.904Z
2,2xRe8Ff8KVGDaiG5jeHXdTybe5JJAyxkg2ivySsE4zRx,Dollyperro,Well been with the app more than 12 hrs now and I could say it work very smooth no glitch yet. And it user friendly,Very disappointed,More improvement on the dashboard,Definitely,,2026-05-06T20:33:39.130Z
3,EVR1LXTtdp5NEV2oHzMaMaBcGce54ZhU8VYDbhrF47ae,KingJSA1,Clean UI and not lagging,Very disappointed,How fast it is and how fast market resolution take,Definitely,,2026-05-06T20:35:59.952Z
4,GgJtyJVPn1BFiQV7fK7ctk9ECzgWtgVWhm6G4vqHaGSg,Niall,"It's just a fun thing and the team aspect is a good idea too. Would change the profile section a bit, not really clear to see my current positions vs past. Feels like they're mixed together.",Somewhat disappointed,"More markets would be cool, maybe like one new one per day on top of like 3 or so at the start of the week.",Maybe,,2026-05-06T20:36:51.020Z
5,2zgDsWU8iiaYk2wgAFs6e12DAHmsksdsRRRbUBgNqn3d,Adeiza,It’s a nice platform and I wish to keep growing on it,Not disappointed,Nothing basically Right On Track,Definitely,Nil,2026-05-06T20:39:34.749Z
6,7cfvRz8oq41RtZkpmNCj3j51H2MoyCN3WXxZ7KNHBq5M,ikihin,"The core concept is genuinely fresh — betting on specific words showing up in tweets from accounts like @WhiteHouse or Airbnb is way more creative than the usual ""will X happen by Y date"" prediction market. It turns following news/PR into a sport. The live ticker at the top showing real-time trades (@Ginx bought YES, @Fortune bought NO) is great for FOMO and shows the platform feels alive even before you scroll. Trending Words sidebar is smart — it tells you where the action is without making you hunt. Arena mode with team play and a $750 pool adds a social layer that pure solo prediction markets like Polymarket lack. UI is clean, dark theme is easy on the eyes, navigation is obvious.
What feels off:

Resolution rules aren't visible. Who decides if @WhiteHouse ""tweeted Hurricane""? Exact match? Stem match? Replies count? Quote tweets? This is the #1 thing that breaks trust on word-based markets. Should be one click from every market card.
Pricing is confusing for newcomers. ""34c / 66c""",Very disappointed,"Add a clear, visible 'Resolution Rules' section to every market — it's the difference between a prediction market people trust and one they just gamble on once.",Maybe,,2026-05-06T21:31:26.349Z
7,4qATiAmZveiKszRWRofQn6G2iVAwAwBHMBfGANQEJL9P,tawan,"Here's another take you can use — different angle from the first one:

Honestly? Mentioned scratches an itch I didn't know I had. Prediction markets have always felt like they're for finance nerds debating Fed rates or election outcomes. Betting on whether @WhiteHouse will tweet ""Hurricane"" this week is fun in a way Polymarket never is. It's lower stakes emotionally, faster resolution, and taps into the same dopamine loop as Twitter itself — you're already refreshing those accounts, might as well have skin in the game.

What's working:

The platform has a vibe. The dark UI, the live ticker, the ""Arena"" framing — it doesn't feel like a finance app, it feels like a game. That's the right instinct. The trending words sidebar is the closest thing to a ""what's hot"" feed I've seen on a prediction market, and it's genuinely useful for finding markets I care about. Team play is a smart differentiator — nobody else in this space is doing social/competitive layers properly. Bounty programs and p",Somewhat disappointed,"Here's an alternative answer with a different focus:

The thing I'd improve most is market discovery and depth.

Right now the homepage feels like a curated showcase — one big featured market, a few cards below, and 8 trending words on the sidebar. That's fine for a launch, but it caps how much time I spend on the platform. Once I've looked at the trending words and the featured markets, I'm out of things to do.

What I want:

A real market catalog. Let me browse by account (@WhiteHouse, @elonmusk, @Airbnb), by category (politics, sports, crypto, entertainment), by closing time (closing soon, just opened), by liquidity (most active, most traders). Right now I can't even tell how many total markets exist on the platform.

Search and filters. If I want to find every open market involving ""Trump"" or ""Bitcoin"" or ""Apple,"" I should be able to type it in. A simple search bar with autocomplete would unlock a lot of latent engagement.

Personal feed. After I've placed a few bets, the homepage",Maybe,,2026-05-06T21:36:57.530Z
8,UeFDhvvq4GMPhw5c7R2yMmxvMXF7XVmjZ1Gb4zHwhPf,voho,"Here's a third angle for you — more focused on the user experience and product feel:

My honest reaction after spending some time on Mentioned: it's the rare crypto-adjacent product that doesn't feel like it was built for crypto people first. The hook is universal — ""will this account say this word?"" — and that's a much easier sell to a normal user than ""stake this token to predict election outcomes."" That alone makes it more interesting to me than 90% of prediction markets out there.

What I like:

The product has confidence. Nothing on the page feels apologetic or over-explained. The live ticker, the bold typography, the Arena prize pool front-and-center — it acts like it's already a thing, and that swagger matters in attracting the first wave of users. Most early-stage products hedge too much. This one doesn't.

The market structure is also clever in a subtle way. By forcing markets into a fixed format (""which of these 5 words will appear?""), you're sidestepping the messiest part of",Very disappointed,"Here's another angle — focused on retention and the daily-use loop:

The improvement I'd push hardest for: giving users a reason to come back every day.

Right now Mentioned feels like a place I'd visit when I remember it exists. The markets are interesting, the trades are fun, but there's no built-in reason for me to open the app at 9am Monday vs. just stumbling in once a week. Prediction markets live or die by daily active engagement, and the current product doesn't fight hard enough for that habit.

What would change that:

Daily check-in mechanics. A small streak bonus, a daily free bet, a ""market of the day"" with extra rewards — something that makes opening the app the first action, before I've even decided what to trade. The points system is the perfect vehicle for this, but right now it's passive (you earn by trading) rather than active (you earn by showing up).

Push notifications that actually matter. Not ""we miss you!"" spam — real signal. ""A market you're holding moved 15¢.""",Maybe,,2026-05-06T21:38:58.701Z
9,1NKu3tzyDe2fhYi6k2HAjJpcosuay96DU3scEWLCWRD,Fortune,It has been a good app so far and I love the ui of the app it easy to navigate and complex things on here,Somewhat disappointed,Better mobile layout and a section where we can sell part of our shares when it increases to a certain amount,Maybe,,2026-05-06T21:39:17.936Z
10,6c628wr7S4PRADt3hcCLj4b5Zp3yfrtXM764bWsRQ6cA,Ginx,"Reall smooth ui.
Really seamless trade.
👏",Very disappointed,More market categories,Maybe,Keep up the good work team.,2026-05-06T21:45:19.853Z
11,HdeY7zy4kgJiFA9yzJzEmegDYKQ5HJTGkHf5vU6yEtPU,PRAbowo,"Mentioned has a genuinely fresh hook — betting on what specific accounts will say is more fun and accessible than typical prediction markets. The UI looks sharp, the live ticker creates energy, and Arena teams add a social layer competitors don't have.
What feels off: resolution rules aren't visible upfront, which is a big deal for word-based markets where ambiguity is everywhere (""Hurricane"" vs ""Hurricanes""?). The pricing format (34¢/66¢) isn't explained for newcomers. Points have no clear value proposition. And market discovery is shallow — once you've seen the trending words, there's not much to explore.
Solid concept, clean execution, but trust signals and depth are missing. Fix those and this becomes a real category, not just a clever experiment.",Very disappointed,"clear, visible resolution rules on every market",Maybe,,2026-05-06T21:52:18.454Z
12,8QNTicB737GcvAy5nDgx681MA55qEkMcw8hVs4Wi8jA4,TheAnthonCrypto,"I love mentioned markets because of its uniqueness and simplicity, I mean mentioned markets is a platform that lets you predict  what is to be said at events.

The UI looks nice too",Very disappointed,"more markets categories, better mobile layout",Maybe,"I noticed that points don't add up quickly.

anyway keep building",2026-05-06T21:54:22.321Z
13,4ziBHCTVz12Ad9MK1aVBdaUSJqwC1F3svJtz3MjcNhYr,megawati,"Fresh concept — betting on what accounts will say beats standard prediction markets for fun and accessibility. UI is clean, the live ticker adds energy, and Arena teams are a smart social hook.
What's off: resolution rules aren't visible (huge deal for word markets where ""Hurricane"" vs ""Hurricanes"" matters), pricing format isn't explained for newcomers, and points have no clear utility. Discovery is also thin once you've scrolled past the trending words.
Good bones, needs trust signals and depth.",Very disappointed,"Here's a shorter version:

Resolution clarity, first and foremost. Every market needs visible rules — what counts as a match, what source is checked, who decides edge cases. Without this, word-based markets can't be trusted.

After that: explain the pricing format to newcomers, add search/filters for market discovery, let users create their own markets, and make the points system's purpose explicit (bragging rights, future token, or rewards?). Mobile UX also needs a pass — the desktop view already looks dense.

Fix resolution first. Everything else is secondary.",Maybe,,2026-05-06T21:55:19.654Z
14,GJvm4nYCuR4RujMGErdxnrGndtT5DR5e7nh1YHdvCri7,jokowi,"Genuinely fresh concept — betting on what accounts will say is more fun than standard prediction markets. Clean UI, live ticker brings energy, Arena teams are a smart social layer.
What's off: resolution rules aren't visible (critical for word markets), pricing isn't explained for new users, and points have no clear purpose. Discovery feels shallow too.
Good bones, needs trust and depth.",Very disappointed,"Resolution rules on every market — what counts as a match, what source is checked, who resolves edge cases. Without this, word markets can't be trusted.
Then: explain pricing for newcomers, add search/filters, let users create markets, and clarify what points are actually for. Mobile UX needs a pass too.
Fix resolution first; the rest follows.",Definitely,,2026-05-06T21:57:21.220Z
15,AkHPMJtjN6ooc7QbLB9hNbxEuZ5Q1sqV5fcMSrnnD7Wg,sydr,"Mentioned is a fun. The core idea is clever and addictive. It turns passive consumption of media into an active, real-time trading game.

What I like:
- The concept is highly engaging
- Free markets with play tokens are perfect for testing the waters without risk
- Leaderboards, points, achievements, and chat per market, it feels more community-oriented than other platforms",Somewhat disappointed,"- More consistent prize pools for free arenas and solo leaderboard to attract more traders
- Faster/better mobile app or PWA experience
- Some UX polish on the leaderboard and chat",Maybe,"Keep building the community and competitions, that’s what makes Mentioned stand out from pure gambling-style prediction markets. The “trade on what gets said” angle has real viral potential, especially around big podcasts and political events. Excited to see where it goes.",2026-05-06T23:59:30.871Z
16,9kLNZ7UUE4X4kaR4Byf3THce4MWPE746V8NQBVGVZKx7,Skiller_122,UI is okay and i love the prediction Markets,Somewhat disappointed,more marketing categories,Definitely,lets keep going,2026-05-07T00:01:13.513Z
17,FDxuWf3NK94NDK8xAknXDv3sc8hnmUZdwYpVxNaKbZrx,Bento,"Mentioned tries to do something interesting with ""mention markets"", but it doesn't fully baked yet. Overall it feels quite empty. Many markets have very low participants and almost no liquidity. The platforms is more like a small side project than a serious product. Execution is mediocre, UI is good but nothing special.",Not disappointed,"Much higher user base, better mobile experience, faster and more transparent with direct evidence / transcript timestamp, more meaningful market instead of low-effort ones, reduce of excessive gamification",Not likely,"Idea is has real potential, but mentioned needs to seriously level up execution, user growth, and product quality before it becomes a daily habbit for mew",2026-05-07T00:12:00.397Z
18,de9zYrdgZcfHoy19XfhQqKz7wrW3wkp37Bbsp8CpC6f,yashchopra25,I love the predictions market. It is amazing. it provides the knowlege to the participants too,Not disappointed,Add a confette on the UP and DOWN calls to make a UX more friendly,Definitely,,2026-05-07T04:38:24.549Z
19,6TMR9wqioM92ABP1W9dhBa8pYyvZWJDWoY3somqUu9Hi,kurture,the overall experience have been good so far,Not disappointed,more market options would be nice,Definitely,,2026-05-07T06:49:20.149Z
